Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034A62,034-US-0060  -000,6.9740,7.7140,Fayette,20335,2022,,
,034C92,034-US-0060  -000,7.8590,8.0430,Fayette,20201,2024,,
,034A50,034-KY-0922  -000,0.5090,1.5320,Fayette,20041,2023,,
,034A03,034-US-0060  -000,5.8670,6.9740,Fayette,19906,2020,,
,034E33,034-US-0027  -000,9.7920,10.1290,Fayette,19825,2023,,
,034M52,034-CS-2636  -000,0,1.9160,Fayette,19374,2022,,
,034C69,034-US-0027  -000,10.1290,10.8060,Fayette,19340,2019,,
,034D11,034-US-0027  -000,6.6760,7.8530,Fayette,18920,2019,,
,034C65,034-KY-1927  -000,0.7380,2.2380,Fayette,18224,2022,,
,034A30,034-CS-3286  -000,0,0.13,Fayette,18208,2024,,
,034A30,034-CS-7436  -000,2.1160,2.5440,Fayette,18208,2024,,
,034A81,034-US-0027  -000,5.1620,5.6530,Fayette,17814,2024,,
,034G02,034-CS-4524  -000,3.29,4.1660,Fayette,17804,2024,,
,105281,034-US-0025  -000,21.6740,22.2860,Fayette,17754,2024,,
,034D13,034-CS-3016  -000,1.9220,3.2530,Fayette,17664,2023,,
,034B14,034-US-0025  -000,13.4330,14.1690,Fayette,17503,2022,,
,034C39,034-CS-4910  -000,0,0.8680,Fayette,17153,2023,,
,034C52,034-KY-1927  -000,0,0.7380,Fayette,16384,2023,,
,034G71,034-CS-4524  -000,1.2660,3.29,Fayette,16315,2018,,
,034G56,034-CS-7087  -000,0.2950,0.5360,Fayette,16213,2023,,
,034M74,034-KY-1878  -000,1.4390,2.2160,Fayette,15542,2024,,
,034290,034-US-0060  -000,11.9650,13.2750,Fayette,15432,2022,,
,034C41,034-US-0421  -000,0,0.6190,Fayette,15425,2023,,
,034B90,034-CS-4174  -000,2.2240,3.68,Fayette,15379,2023,,
,034A56,034-US-0421  -000,0.6190,1.40,Fayette,15257,2023,,
,034B88,034-CS-4174  -000,1.3870,2.2240,Fayette,15226,2019,,
,034C82,034-CS-4745  -000,0.5410,0.7560,Fayette,14825,2023,,
,034N21,034-KY-1878  -000,2.2160,3.7390,Fayette,14784,2024,,
,034A27,034-CS-7436  -000,1.1490,2.1160,Fayette,14694,2024,,
,034A47,034-US-0027  -000,7.8530,8.6910,Fayette,14668,2022,,
,034D80,034-KY-1927  -000,2.2380,2.9390,Fayette,14615,2022,,
,034051,034-US-0027  -000,10.8060,12.9890,Fayette,14423,2022,,
,034G17,034-CS-4524  -000,0,1.2660,Fayette,13932,2024,,
,034D81,034-KY-1927  -000,2.9390,3.7890,Fayette,13924,2024,,
,034C77,034-CS-4009  -000,3.0210,4.10,Fayette,13723,2022,,
,034296,034-US-0060  -000,13.2750,16.3670,Fayette,13695,2024,,
,034033,034-US-0027  -000,12.9890,16.0080,Fayette,13620,2022,,
,034B58,034-US-0025  -000,14.1690,14.2480,Fayette,13284,2022,,
,034B60,034-KY-0353  -000,0,1.1830,Fayette,13165,2022,,
,034B82,034-KY-0057  -000,0,0.1430,Fayette,13122,2022,,
,034764,034-KY-1973  -000,21.7520,22.3460,Fayette,12970,2024,,
,034C96,034-CS-3016  -000,0,1.2230,Fayette,12712,2022,,
,034C62,034-CS-4918  -000,0,0.82,Fayette,12403,2022,,
,034B89,034-CS-4937  -000,0,0.6270,Fayette,12280,2023,,
,034F25,034-CS-3016  -000,1.2230,1.9220,Fayette,12210,2022,,
,034E84,034-CS-4702  -000,0,1.1590,Fayette,12078,2024,,
,034A15,034-CS-4174  -000,0.5130,1.3870,Fayette,12057,2024,,
,034E73,034-CS-3286  -000,0.6760,1.3560,Fayette,12037,2022,,
,034E73,034-CS-4907  -000,0,0.2360,Fayette,12037,2022,,
,034776,034-US-0421  -000,5.7110,8.1660,Fayette,11776,2024,,
,034E75,034-US-0025  -001,13.4330,14.1790,Fayette,11751,2020,,
,034G14,034-US-0421  -000,2.8810,5.7110,Fayette,11694,2024,,
,034F30,034-US-0025  -001,14.1790,14.3060,Fayette,11677,2022,,
,034E55,034-CS-4009  -000,0,1.01,Fayette,11468,2022,,
,034M75,034-KY-1878  -000,0,1.4390,Fayette,11463,2022,,
,034B98,034-CS-3289  -000,0,0.5210,Fayette,11442,2022,,
,034B71,034-CS-7438  -000,0,0.5550,Fayette,11356,2023,,
,034D30,034-CS-3559  -000,0.8430,1.9680,Fayette,11329,2023,,
,034C45,034-KY-0057  -000,0.1430,0.9120,Fayette,11214,2024,,
,034A74,034-CS-7087  -000,0.5360,1.0360,Fayette,11213,2023,,
,034C21,034-CS-4469  -000,0,0.8570,Fayette,11158,2024,,
,034C60,034-CS-2662  -000,0,0.7030,Fayette,11154,2020,,
,034A52,034-US-0025  -000,15.1330,16.1510,Fayette,10912,2023,,
,034C24,034-CS-4651  -000,1.0020,1.8770,Fayette,10848,2022,,
,034D90,034-KY-1974  -000,5.4590,7.7970,Fayette,10836,2022,,
,034E57,034-KY-1978  -000,0,0.3020,Fayette,10767,2024,,
,034A88,034-CS-3286  -000,0.13,0.6760,Fayette,10660,2024,,
,034B67,034-KY-1681  -000,5.5440,6.6480,Fayette,10356,2024,,
,034A32,034-CS-3186  -000,0,0.8390,Fayette,10296,2023,,
,034B94,034-CS-4791  -000,0,1.0480,Fayette,10214,2024,,
,034A45,034-CS-1376  -000,0,0.23,Fayette,10209,2024,,
,034B85,034-CS-7038  -000,0.4560,1.7620,Fayette,10130,2023,,
,034H85,034-KY-0922  -000,0,0.5090,Fayette,9862,2024,,
,034F16,034-CS-4174  -000,0,0.5130,Fayette,9834,2023,,
,034A48,034-CS-1321  -000,0,0.8530,Fayette,9805,2024,,
,034A36,034-CS-2418  -000,0,1.2970,Fayette,9749,2023,,
,034291,034-KY-1425  -000,0,1.4290,Fayette,9556,2024,,
,034A23,034-CS-3223  -000,0,1.0320,Fayette,9395,2020,,
,034D39,034-CS-4937  -000,0.6270,0.9850,Fayette,9374,2022,,
,034M53,034-CS-4050  -000,0,1.0880,Fayette,9306,2019,,
,034A40,034-CS-2230  -000,0.5580,1.4010,Fayette,9280,2024,,
,034A85,034-CS-7432  -000,0,0.0710,Fayette,9241,2022,,
,034A85,034-CS-7435  -000,0,0.7950,Fayette,9241,2022,,
,034A85,034-CS-7439  -000,0,0.3350,Fayette,9241,2022,,
,034C75,034-CS-4469  -000,0.8570,1.1080,Fayette,9214,2023,,
,034H05,034-CS-1376  -000,0.23,1.2080,Fayette,9194,2024,,
,034C72,034-CS-3605  -000,0,0.7080,Fayette,9123,2022,,
,034E59,034-KY-1978  -000,0.3020,0.8580,Fayette,9095,2022,,
,034A77,034-CS-3288  -000,0,0.7210,Fayette,9016,2022,,
,034A77,034-CS-4909  -000,0.4030,0.6370,Fayette,9016,2022,,
,034F01,034-CS-2230  -000,0,0.5580,Fayette,8986,2022,,
,034B75,034-CS-4540  -000,0.9410,1.5030,Fayette,8953,2023,,
,034D19,034-CS-2690  -000,1.0490,1.7930,Fayette,8890,2022,,
,034M54,034-CS-2523  -000,0,1.5790,Fayette,8673,2022,,
,034A66,034-CS-4909  -000,0,0.4030,Fayette,8446,2024,,
,034A08,034-CS-4540  -000,0,0.9410,Fayette,8437,2022,,
,034B81,034-CS-2515  -000,0,1.4030,Fayette,8416,2023,,
,034A79,034-CS-7433  -000,0,0.1560,Fayette,8412,2024,,
,034D87,034-CS-3037  -000,0,1.4160,Fayette,8384,2024,,
,034A89,034-CS-3820  -000,0,0.4120,Fayette,8308,2024,,
,034C20,034-CS-7063  -000,0,0.5930,Fayette,8139,2024,,
,034C20,034-IC-8104AS-000,0,0.2840,Fayette,8139,2024,,
,034B66,034-CS-7438  -000,0.5550,1.0310,Fayette,8079,2024,,
,034C40,034-CS-1257  -000,0,1.0550,Fayette,8027,2022,,
,034C18,034-IC-8104W -000,0,0.85,Fayette,8017,2022,,
,034B23,034-CS-7038  -000,0,0.4560,Fayette,7935,2022,,
,034D84,034-CS-3663  -000,0,1.0070,Fayette,7883,2024,,
,034N16,034-CS-2548  -000,0,1.17,Fayette,7774,2024,,
,034C04,034-CS-3186  -000,0.8390,1.5930,Fayette,7704,2024,,
,034G94,034-CS-3186  -000,1.5930,2.7610,Fayette,7695,2022,,
,034G94,034-CS-3418  -000,0,0.1660,Fayette,7695,2022,,
,034E10,034-CS-1001  -000,1.1320,1.96,Fayette,7670,2022,,
,034G70,034-CS-4651  -000,0,1.0020,Fayette,7650,2024,,
,034271,034-US-0060  -000,16.3670,19.1540,Fayette,7634,2024,,
,034G98,034-IC-8104J -000,0.0930,0.2160,Fayette,7571,2022,,
,034M57,034-IC-8104K -000,0,0.3650,Fayette,7517,2023,,
,034D02,034-CS-2280  -000,0,1.0740,Fayette,7504,2023,,
,034E06,034-CS-7079  -000,0.2670,0.6120,Fayette,7388,2022,,
,034A92,034-CS-2714  -000,0,0.4760,Fayette,7352,2022,,
,034G20,034-KY-1968  -000,3.92,5.1770,Fayette,7344,2022,,
,034B77,034-CS-4009  -000,2.5590,3.0210,Fayette,7275,2024,,
,034F33,034-CS-3788  -000,0,1.22,Fayette,7173,2024,,
,034E50,034-CS-4009  -000,1.01,2.5590,Fayette,7139,2024,,
,034D08,034-CS-2333  -000,0,1.9180,Fayette,7078,2024,,
,034D58,034-CS-1277  -000,0,0.94,Fayette,7046,2019,,
,034M95,034-CS-4444  -000,0,0.6860,Fayette,7042,2024,,
,034A72,034-CS-4745  -000,0,0.5410,Fayette,6982,2024,,
,034C12,034-CS-3353  -000,0,1.6810,Fayette,6969,2023,,
,034C47,034-KY-0057  -000,0.9120,1.4370,Fayette,6877,2024,,
,034A11,034-CS-4174  -000,3.68,4.4440,Fayette,6766,2022,,
,034E20,034-CS-1257  -000,1.0550,1.6970,Fayette,6636,2023,,
,034C71,034-CS-3559  -000,0.0710,0.8430,Fayette,6596,2022,,
,034H26,034-CS-3513  -000,0.5750,0.8520,Fayette,6519,2020,,
,034G23,034-KY-1974  -000,4.2280,5.4590,Fayette,6433,2023,,
